conceptType,conceptUri,skillType,reuseLevel,preferredLabel,altLabels,hiddenLabels,status,modifiedDate,scopeNote,definition,inScheme,description;
"KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/001115fb-569f-4ee6-8381-c6807ef2527f,skill/competence,transversal,Initiative zeigen,,,released,2021-09-02T16:37:00.315Z,,,""http://data.europa.eu/esco/concept-scheme/skills,";
http://data.europa.eu/esco/concept-scheme/skill-transversal-groups,;
"http://data.europa.eu/esco/concept-scheme/member-skills"",""Proaktiv sein und den ersten Schritt unternehmen, ohne darauf zu warten, was Andere sagen oder tun.";
"	""";
"KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/001d46db-035e-4b92-83a3-ed8771e0c123,skill/competence,sector-specific,Personal mit Blick auf die Verringerung von Lebensmittelabfällen schulen,""Information des Personals über Praktiken zur Reduzierung von Lebensmittelabfällen";
Schulung des Personals zur Reduzierung von Lebensmittelverschwendung;
den Schülern/Schülerinnen Praktiken zur Verringerung der Lebensmittelverschwendung vermitteln;
"die Arbeiter/innen über Methoden des Lebensmittelrecyclings aufklären"",,released,2021-01-20T14:31:01.524Z,,,""http://data.europa.eu/esco/concept-scheme/member-skills,";
http://data.europa.eu/esco/concept-scheme/skills,;
"http://data.europa.eu/esco/concept-scheme/green"",""Einführung neuer Schulungs- und Personalentwicklungsmaßnahmen, um das Wissen der Mitarbeiter/innen über die Vermeidung von Lebensmittelabfällen und die Wiederverwertung von Lebensmitteln zu fördern. Sicherstellen, dass das Personal die Methoden und Hilfsmittel für die Wiederverwertung von Lebensmitteln kennt, z. B. die Abfalltrennung.";
"	""";
"KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0023e7a5-43da-4b68-bee3-726ef21f986d,skill/competence,cross-sector,Grundsätze der Diplomatie anwenden,,,released,2023-11-28T10:36:15.443Z,,,""http://data.europa.eu/esco/concept-scheme/skills,";
"http://data.europa.eu/esco/concept-scheme/member-skills"",""Anwenden der mit der Ausarbeitung internationaler Verträge verbundenen Prozesse durch Verhandlungen zwischen Vertretern verschiedener Länder, Schutz der Interessen der Regierung und Unterstützung von Kompromissen.""";
"KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00298d97-3dc3-4086-a902-bce0a2fba831,skill/competence,sector-specific,polizeiliche Ermittlungen leiten,,,released,2023-11-30T15:58:51.376Z,,,""http://data.europa.eu/esco/concept-scheme/member-skills,";
"http://data.europa.eu/esco/concept-scheme/skills"",""Leiten von Ermittlungen der Polizei, einschließlich Festlegen einer Ermittlungsstrategie, Kontaktaufnahme mit Sachverständigen, Anwenden unterschiedlicher Methoden und Standpunkte sowie Führen und Anleiten der beteiligten Ermittler.""";
"KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/002b2e58-35ab-460c-be97-ca2f585fd990,skill/competence,sector-specific,mit den Abfällen der Fischernte umgehen,,,released,2023-11-30T16:14:30.732Z,,,""http://data.europa.eu/esco/concept-scheme/skills,";
"http://data.europa.eu/esco/concept-scheme/member-skills"",""Entsorgen von Abfall, Blut und minderwertigem Fisch gemäß den am Standort geltenden Verfahren für die Abfallbewirtschaftung.""";
"KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0037c821-2898-4919-b96e-7ed1cd89554c,skill/competence,cross-sector,Energiesparkonzepte entwickeln,,,released,2023-11-30T16:47:09.526Z,,,""http://data.europa.eu/esco/concept-scheme/skills,";
http://data.europa.eu/esco/concept-scheme/member-skills,;
"http://data.europa.eu/esco/concept-scheme/green"",""Nutzen der aktuellen Forschungsergebnisse und Zusammenarbeit mit Experten zur Optimierung oder Entwicklung von Konzepten, Ausrüstung und Herstellungsverfahren, die weniger Energie benötigen, z. B. neue Dämmverfahren und -materialien.""";
"KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/004017c9-0337-4f5a-8077-798de9ef12e3,skill/competence,sector-specific,als Streetworker tätig sein,,,released,2023-11-30T15:11:30.413Z,,,""http://data.europa.eu/esco/concept-scheme/member-skills,";
"http://data.europa.eu/esco/concept-scheme/skills"",""Sozialarbeit durch Kontaktaufnahme mit Personen in der Nachbarschaft oder auf der Straße und Anbieten von direkten Informationen oder Beratungsdiensten, die in der Regel auf Jugendliche oder Obdachlose ausgerichtet sind.""";
"KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/004f1e68-9ca2-4f3f-92d9-e7d7ff6b9330,skill/competence,sector-specific,mit Solisten/Solistinnen arbeiten,,,released,2023-11-30T14:52:04.558Z,,,""http://data.europa.eu/esco/concept-scheme/member-skills,";
"http://data.europa.eu/esco/concept-scheme/skills"",""Herstellung von Artikeln und Ausrüstungsgegenständen, die sowohl für sportliche Aktivitäten im Freien als auch im Hallensport verwendet werden, beispielsweise Bälle, Schläger, Skier, Surfbretter, Angel- und Jagdausrüstung, Eis- und Rollsportausrüstung sowie Fitnessgeräte.""";
"KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/fddb5bf3-eaa8-4bbb-9af5-107d7ec6227a,skill/competence,sector-specific,Bildunterschriften schreiben,,,released,2024-02-09T17:29:11.47Z,,,""http://data.europa.eu/esco/concept-scheme/member-skills,";
"http://data.europa.eu/esco/concept-scheme/skills"",""Schreiben von Bildunterschriften für Cartoons, Zeichnungen und Fotografien. Diese Bildunterschriften können humorvoll oder erklärend sein.""";
"KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/fddc5d4f-0dfe-42fb-a1c0-3ad827db2216,skill/competence,cross-sector,""Probleme in Angriff nehmen, die den akademischen Fortschritt hemmen"",""Probleme in Angriff nehmen, die den schulischen Fortschritt hemmen"",,released,2024-02-09T17:29:12.215Z,,,""http://data.europa.eu/esco/concept-scheme/member-skills,";
"http://data.europa.eu/esco/concept-scheme/skills"",""Behandlung der Probleme, die den schulischen Fortschritt eines Schülers blockieren können, z. B. soziale, psychische, emotionale oder physische Schwierigkeiten, durch Beratung und Interventionsmethoden.""";
"KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/fde186df-c9c4-49f5-b2a5-d66adc7c43a5,skill/competence,cross-sector,Einkaufsbedingungen aushandeln,Einkaufskonditionen aushandeln,,released,2024-02-09T17:29:13.7Z,,,""http://data.europa.eu/esco/concept-scheme/member-skills,";
"http://data.europa.eu/esco/concept-scheme/skills"",""Aushandeln von Bedingungen wie Preis, Menge, Qualität und Lieferbedingungen mit Verkäufern und Lieferanten, um die vorteilhaftesten Einkaufsbedingungen zu gewährleisten.""";
"KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/fde9f003-eedf-40d4-984d-d8beb2e0a855,knowledge,sector-specific,Herstellung von Dampferzeugern,,,released,2024-02-09T17:29:13.7Z,,,""http://data.europa.eu/esco/concept-scheme/skills,";
"http://data.europa.eu/esco/concept-scheme/member-skills"",""Herstellung von Dampfkesseln und anderen Dampferzeugern sowie von Hilfsapparaten für Dampferzeuger: Kondensatoren, Vorwärmer, Überhitzer, Dampfkollektoren und -speicher. Herstellung von Kernreaktoren sowie Teilen für Schiffs- oder Kraftwerkskesseln. Außerdem Konstruktion von Rohrleitungssystemen mit Weiterverarbeitung von Rohren im Allgemeinen zur Herstellung von Druckleitungen oder Rohrleitungssystemen sowie die damit verbundenen Konstruktions- und Bauarbeiten.""";
"KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/fdeabe51-1d92-4770-acfe-eff9769b3d4f,knowledge,cross-sector,Geländeanalyse,,,released,2024-02-09T17:29:10.678Z,,,""http://data.europa.eu/esco/concept-scheme/skills,";
"http://data.europa.eu/esco/concept-scheme/member-skills"",Analyse- und Berechnungsmethoden zur Gestaltung von Außenplätzen.";
"KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/fdf15b35-9028-4acb-bfd2-43f00a015cd9,skill/competence,cross-sector,Organisationssoftware verwenden,Organisationstools verwenden,""Wunderlist";
Todoist;
Empire Suite Software;
Interactive Calendar;
TrackerSuite.Net;
Zoho Calendar;
TimeDoctor;
Toggl;
Harvest;
ChronForce;
Clarizen;
Mavenlink;
hiTask;
OmniFocus;
Any.DO;
Mozilla Sunbird;
WorkStraight;
TaskTome;
Art Plus ePix Wallpaper Calendar;
AceProject;
ToodleDo;
TickTick;
Emplotime;
time@work;
Yahoo! Calendar;
iPlan;
Outlook Time;
VueMinder Calendar Lite;
Zoho Projects;
Trello;
Rainlendar Lite;
pmProjectTeam;
Osmo Calendar;
FreshBooks;
"Im Time Calendar"",released,2024-02-09T17:29:15.968Z,,,""http://data.europa.eu/esco/concept-scheme/skills,";
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036,;
"http://data.europa.eu/esco/concept-scheme/member-skills"",""Nutzung von Softwaretools wie Kalender, To-do-Listen, Zeiterfassung und Kontaktlisten zur Unterstützung bei der Verwaltung der eigenen Effizienz.""";
"KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/fdfa3dcb-b8f0-454f-a659-64c66dc6b6a2,knowledge,cross-sector,Glasfasertechnik,Lichtwellenleitertechnik,,released,2022-07-05T14:38:14.9Z,,,""http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036,";
http://data.europa.eu/esco/concept-scheme/member-skills,;
"http://data.europa.eu/esco/concept-scheme/skills"",""Technologie, die Lichtwellenleiter, z. B. Kunststoff- oder Glasfasern, zur Übertragung von Daten nutzt. Lichtwellenleiter übermitteln Licht zwischen den beiden Enden der Faser und können dadurch Bilder und Nachrichten übertragen, die auf Lichtwellen moduliert sind. Glasfaserkabel gewinnen aufgrund Ihrer Fähigkeit, Daten über große Entfernungen mit höheren Bandbreiten und geringeren Interferenzen als Kupferkabel zu übertragen, zunehmend an Beliebtheit.""";
"KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/fdfa44f7-2f10-4fba-8ade-df0a1fb77abd,skill/competence,sector-specific,Wachstumsraten von aquatischen Ressourcen berechnen,Wachstumsraten von Wasserressourcen berechnen,,released,2024-02-09T17:29:13.7Z,,,""http://data.europa.eu/esco/concept-scheme/skills,";
"http://data.europa.eu/esco/concept-scheme/member-skills"",Berechnung und Vorhersage von Wachstumsraten. Überwachung und Bewertung von Wachstum und Biomasse unter Berücksichtigung der Mortalität auf der Grundlage verschiedener Methoden zur Bewertung des Wachstums.";
"KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/fdfb348c-6aaf-4815-8f50-2f665287c422,knowledge,sector-specific,Herausforderungen in der Textilindustrie,,,released,2024-02-09T17:29:16.725Z,,,""http://data.europa.eu/esco/concept-scheme/skills,";
http://data.europa.eu/esco/concept-scheme/member-skills,;
"http://data.europa.eu/esco/concept-scheme/green"",""Effizienzziele und Umweltprobleme, die sich aus den Herausforderungen in der Textilindustrie ergeben.""";
"KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/fdfc0bfb-180d-4295-b747-1f5569358a7e,skill/competence,cross-sector,Verfahrensanweisungen im Fall eines Alarms befolgen,,,released,2024-02-09T17:29:12.215Z,,,""http://data.europa.eu/esco/concept-scheme/skills,";
"http://data.europa.eu/esco/concept-scheme/member-skills"",Befolgen von Sicherheitsverfahren im Fall eines Alarms"; Handeln entsprechend Unternehmensanweisungen und -verfahren.
"KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/fdfd4336-fda1-44c8-8dbf-771a472d79bb,skill/competence,sector-specific,Betonschlauch führen,,,released,2024-02-09T17:29:15.235Z,,,""http://data.europa.eu/esco/concept-scheme/member-skills,";
"http://data.europa.eu/esco/concept-scheme/skills"",""Führen des Betonschlauchs während des Betriebs der Pumpe. Sicherstellen, dass der Beton effizient und sicher verteilt wird.""";
"KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/fdff4747-70f6-4f1a-8285-8d31eb3c11e1,skill/competence,sector-specific,Rasenpflege leisten,,,released,2024-02-09T17:29:09.009Z,,,""http://data.europa.eu/esco/concept-scheme/member-skills,";
http://data.europa.eu/esco/concept-scheme/green,;
"http://data.europa.eu/esco/concept-scheme/skills"",""Pflegen von Rasen durch die Anwendung von Techniken der biologischen, hybriden und integrierten Rasenpflege. Einbringen aller erforderlichen Nährstoffe. """;
"KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/fe082ca0-91b4-430e-aee8-e552eba62349,skill/competence,cross-sector,Tumbler pflegen,Poltermaschine pflegen,,released,2024-02-09T17:29:09.009Z,,,""http://data.europa.eu/esco/concept-scheme/skills,";
"http://data.europa.eu/esco/concept-scheme/member-skills"",""Vorschriftsmäßiges Pflegen, Überwachen und Bedienen einer Maschine, die dafür konstruiert ist, Metall- oder Steinflächen zu glätten, indem die verschiedenen Teile in einem Tumbler gegeneinander gerieben werden.""";
"KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/fe0bd9ea-9334-43f8-8eee-3390a259f117,skill/competence,cross-sector,mit Vertriebswegemanagern und -managerinnen in Kontakt stehen,,,released,2024-02-09T17:29:15.968Z,,,""http://data.europa.eu/esco/concept-scheme/member-skills,";
"http://data.europa.eu/esco/concept-scheme/skills"",""Pflege von Kontakten zu Managern in Vertriebsstellen, um Werbeveranstaltungen zu planen und zu vereinbaren, die darauf abzielen, die Marken und Produkte zu bewerben, die über diese Vertriebswege verkauft werden.""";
"KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/fe1c2b32-7fe9-4668-affa-07ff658a68cf,skill/competence,sector-specific,IKT-Sicherheitsrisiken identifizieren,""IKT-Bedrohungen modellieren";
Risiken für die IKT-Sicherheit identifizieren;
IKT-Sicherheitsrisiko identifizieren;
IKT-Sicherheitsrisiken und -Bedrohungen identifizieren;
"IKT-Sicherheitsrisiken ermitteln"",,released,2023-05-15T15:45:03.957Z,,,""http://data.europa.eu/esco/concept-scheme/skills,";
http://data.europa.eu/esco/concept-scheme/member-skills,;
"http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036"",""Anwenden von Methoden und Techniken, um potenzielle Sicherheitsbedrohungen, Sicherheitsverstöße und Risikofaktoren zu ermitteln durch den Einsatz von IKT-Instrumenten für die Überwachung von IKT-Systemen, die Analyse von Risiken, Schwachstellen und Bedrohungen sowie die Bewertung von Notfallplänen.""";
"KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/fe1ec582-d63b-466c-9149-e7fc4fe93e22,knowledge,sector-specific,Lieferantenmanagement,,,released,2024-02-09T17:29:11.47Z,,,""http://data.europa.eu/esco/concept-scheme/member-skills,";
"http://data.europa.eu/esco/concept-scheme/skills"",""Methoden und Techniken, mit denen sichergestellt werden soll, dass die für die Erbringung der Dienstleistung erforderlichen externen Dienste und Konfigurationsoptionen auf Anforderung und gemäß Dienstgütevereinbarung verfügbar sind.""";
"KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/fe29e658-7cad-4b70-a169-10a240ec0bef,skill/competence,sector-specific,in einem Logistikteam arbeiten,,,released,2024-02-09T17:29:12.215Z,,,""http://data.europa.eu/esco/concept-scheme/skills,";
"http://data.europa.eu/esco/concept-scheme/member-skills"",""Fähigkeit, vertrauensvoll in einem Logistikteam zu arbeiten, in dem jedes Teammitglied seine Rolle erfüllt, um die Effizienz des gesamten Teams zu steigern.""";
"KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/fe309116-eea5-4b23-8748-316c927af6e2,skill/competence,sector-specific,Qualität von Produkten an der Textilproduktionslinie kontrollieren,,,released,2024-02-09T17:29:16.725Z,,,""http://data.europa.eu/esco/concept-scheme/member-skills,";
"http://data.europa.eu/esco/concept-scheme/skills"",""Fähigkeit, die Eigenschaften von Textilerzeugnissen zu prüfen, z. B. Garne, gewebte, gewirkte, geflochtene, getuftete oder nicht gewebte Textilien, fertige Stoffe und Konfektionskleidung, sowie Bestimmung der Qualität des Erzeugnisses in den verschiedenen Phasen der Textil- oder Bekleidungsproduktionslinie.""";
