id;file_name;source;posting_date;year;month;quarter;job_title;company_name;company_branch;location;job_categories;competences_count;competences;char_count;word_count;extraction_quality;remote_option;text_quality
71da0666272c;Product Manager (m_w) Digital - Job bei Sport1 GmbH in Ismaning bei München.pdf;local;;;;;Product Manager (m w) Digital   Job bei Sport1 GmbH in Ismaning bei München;Constantin Medien AG;IT & Software;München;Product Management;2;"[{""name"": ""Jira"", ""category"": ""Project Management"", ""type"": ""tool"", ""esco_uri"": ""esco:skill/jira""}, {""name"": ""Confluence"", ""category"": ""Documentation"", ""type"": ""tool"", ""esco_uri"": ""esco:skill/confluence""}]";2368;287;0.7;;1.0
dc22413d3cc9;(4) Berater IT- _ Digital Strategy - Technology Transformation (w_m_d) _ EY _ LinkedIn.pdf;local;;;;;(4) Berater IT    Digital Strategy   Technology Transformation (w m d)   EY   LinkedIn;Unbekannt;;Hamburg;Agile Coaching;1;"[{""name"": ""Scrum"", ""category"": ""Agile Method"", ""type"": ""method"", ""esco_uri"": ""esco:skill/scrum""}]";11141;1286;0.6;hybrid;0.9
48d189f64df2;(Junior) Conversion Manager (m_w) - Job bei Career Partner GmbH in Hamburg oder München.pdf;local;;;;;(Junior) Conversion Manager (m w)   Job bei Career Partner GmbH in Hamburg oder München;Career Partner GmbH;IT & Software;Hamburg;Other;4;"[{""name"": ""HTML5"", ""category"": ""Web Technology"", ""type"": ""technology"", ""esco_uri"": ""esco:skill/html5""}, {""name"": ""Wireframing"", ""category"": ""Design Activity"", ""type"": ""skill"", ""esco_uri"": ""esco:skill/wireframing""}, {""name"": ""Google Analytics"", ""category"": ""Analytics"", ""type"": ""tool"", ""esco_uri"": ""esco:skill/google-analytics""}, {""name"": ""Google Analytics"", ""category"": ""Analytics"", ""type"": ""tool"", ""esco_uri"": ""esco:skill/google-analytics""}]";3058;357;0.55;;1.0
441a8bac89c5;Digital Customer Experience Consultant (w_m) - Job bei TÜV SÜD in München.pdf;local;;;;;Digital Customer Experience Consultant (w m)   Job bei TÜV SÜD in München;Unbekannt;;München;Business Analysis;3;"[{""name"": ""TypeScript"", ""category"": ""Programming Language"", ""type"": ""language"", ""esco_uri"": ""esco:skill/typescript""}, {""name"": ""HTML5"", ""category"": ""Web Technology"", ""type"": ""technology"", ""esco_uri"": ""esco:skill/html5""}, {""name"": ""Journey Mapping"", ""category"": ""Research Method"", ""type"": ""method"", ""esco_uri"": ""esco:skill/journey-mapping""}]";3570;404;0.55;hybrid;1.0
1c34afbaaa34;(Deputy) Director Insights (mensch).pdf;local;;;;;(Deputy) Director Insights (mensch);Omnicom Media Group;IT & Software;Hamburg;Other;1;"[{""name"": ""Journey Mapping"", ""category"": ""Research Method"", ""type"": ""method"", ""esco_uri"": ""esco:skill/journey-mapping""}]";11186;1334;0.6;hybrid;0.9
3d6c108f7e73;Agile Transformation Lead (w:m:d)  .pdf;local;;;;;Agile Transformation Lead (w:m:d);Consulting GmbH;IT & Software;Hamburg;Agile Coaching;5;"[{""name"": ""Scrum"", ""category"": ""Agile Method"", ""type"": ""method"", ""esco_uri"": ""esco:skill/scrum""}, {""name"": ""Kanban"", ""category"": ""Agile Method"", ""type"": ""method"", ""esco_uri"": ""esco:skill/kanban""}, {""name"": ""SAFe"", ""category"": ""Agile Framework"", ""type"": ""framework"", ""esco_uri"": ""esco:skill/safe""}, {""name"": ""SAFe"", ""category"": ""Agile Framework"", ""type"": ""framework"", ""esco_uri"": ""esco:skill/safe""}, {""name"": ""SAFe"", ""category"": ""Agile Framework"", ""type"": ""framework"", ""esco_uri"": ""esco:skill/safe""}]";10564;1216;0.85;hybrid;1.0
ddab86895b4a;Referenten (m_w) - Job bei Handelsverband Bayern e.V. in München.pdf;local;;;;;Referenten (m w)   Job bei Handelsverband Bayern e.V. in München;Unbekannt;;München;Other;1;"[{""name"": ""HTML5"", ""category"": ""Web Technology"", ""type"": ""technology"", ""esco_uri"": ""esco:skill/html5""}]";1639;174;0.3;;1.0
25dc7e6ff3bf;Agvolution GmbH _ Chief Product Manager.pdf;local;;;;;Agvolution GmbH   Chief Product Manager;Agvolution GmbH;IT & Software;Remote;UX/UI Design, Product Management;8;"[{""name"": ""React"", ""category"": ""Frontend Framework"", ""type"": ""technology"", ""esco_uri"": ""esco:skill/react""}, {""name"": ""Next.js"", ""category"": ""Frontend Framework"", ""type"": ""technology"", ""esco_uri"": ""esco:skill/nextjs""}, {""name"": ""TypeScript"", ""category"": ""Programming Language"", ""type"": ""language"", ""esco_uri"": ""esco:skill/typescript""}, {""name"": ""JavaScript"", ""category"": ""Programming Language"", ""type"": ""language"", ""esco_uri"": ""esco:skill/javascript""}, {""name"": ""JavaScript"", ""category"": ""Programming Language"", ""type"": ""language"", ""esco_uri"": ""esco:skill/javascript""}, {""name"": ""Python"", ""category"": ""Programming Language"", ""type"": ""language"", ""esco_uri"": ""esco:skill/python""}, {""name"": ""Design Thinking"", ""category"": ""Design Method"", ""type"": ""method"", ""esco_uri"": ""esco:skill/design-thinking""}, {""name"": ""Jira"", ""category"": ""Project Management"", ""type"": ""tool"", ""esco_uri"": ""esco:skill/jira""}]";10641;1244;0.85;full_remote;1.0
54a932b6b179;Usability UX Manager Anzeige.pdf;local;;;;;Usability UX Manager Anzeige;OTTO;IT & Software;München;UX/UI Design, UX Research;3;"[{""name"": ""Scrum"", ""category"": ""Agile Method"", ""type"": ""method"", ""esco_uri"": ""esco:skill/scrum""}, {""name"": ""Journey Mapping"", ""category"": ""Research Method"", ""type"": ""method"", ""esco_uri"": ""esco:skill/journey-mapping""}, {""name"": ""Journey Mapping"", ""category"": ""Research Method"", ""type"": ""method"", ""esco_uri"": ""esco:skill/journey-mapping""}]";2892;353;0.8;hybrid;1.0
3a62f8b13977;(Senior) Manager Digitalization Consulting & Co-Creation (w:m:x).pdf;local;;;;;(Senior) Manager Digitalization Consulting & Co Creation (w:m:x);Unbekannt;;Hamburg (Remote möglich);Agile Coaching;2;"[{""name"": ""Go"", ""category"": ""Programming Language"", ""type"": ""language"", ""esco_uri"": ""esco:skill/go""}, {""name"": ""Journey Mapping"", ""category"": ""Research Method"", ""type"": ""method"", ""esco_uri"": ""esco:skill/journey-mapping""}]";10818;1241;0.55;hybrid;1.0
2735b8e58d1d;Stellenbeschreibung_ Digital Product Manager (m_w).pdf;local;;;;;Stellenbeschreibung  Digital Product Manager (m w);Springer Fachmedien München GmbH;IT & Software;München;Product Management;3;"[{""name"": ""Scrum"", ""category"": ""Agile Method"", ""type"": ""method"", ""esco_uri"": ""esco:skill/scrum""}, {""name"": ""Jira"", ""category"": ""Project Management"", ""type"": ""tool"", ""esco_uri"": ""esco:skill/jira""}, {""name"": ""Confluence"", ""category"": ""Documentation"", ""type"": ""tool"", ""esco_uri"": ""esco:skill/confluence""}]";3106;366;0.75;;1.0
7750bcb39306;Gesicht_ Product Owner Kundenportale (m_w_d) _ GASAG.pdf;local;;;;;Gesicht  Product Owner Kundenportale (m w d)   GASAG;Unbekannt;;Berlin;Product Management;2;"[{""name"": ""Scrum"", ""category"": ""Agile Method"", ""type"": ""method"", ""esco_uri"": ""esco:skill/scrum""}, {""name"": ""User Stories"", ""category"": ""Agile Practice"", ""type"": ""method"", ""esco_uri"": ""esco:skill/user-stories""}]";4166;470;0.5;;1.0
809e0e05c2fd;Change-Management Berater (Madrid_Germany) _ bicg _ LinkedIn.pdf;local;;;;;Change Management Berater (Madrid Germany)   bicg   LinkedIn;Unbekannt;;Frankfurt;Other;0;;12149;1358;0.2;hybrid;0.9
908ff037f8c5;UX Researcher (m_w_d) - Orbit Ventures GmbH.docx;local;;;;;UX Researcher (m w d)   Orbit Ventures GmbH;Orbit Ventures GmbH;IT & Software;Hamburg;UX/UI Design, UX Research;8;"[{""name"": ""Sketch"", ""category"": ""UX Tools"", ""type"": ""tool"", ""esco_uri"": ""esco:skill/sketch""}, {""name"": ""InVision"", ""category"": ""UX Tools"", ""type"": ""tool"", ""esco_uri"": ""esco:skill/invision""}, {""name"": ""Miro"", ""category"": ""Collaboration"", ""type"": ""tool"", ""esco_uri"": ""esco:skill/miro""}, {""name"": ""User Research"", ""category"": ""Research Method"", ""type"": ""method"", ""esco_uri"": ""esco:skill/user-research""}, {""name"": ""User Interviews"", ""category"": ""Research Method"", ""type"": ""method"", ""esco_uri"": ""esco:skill/user-interviews""}, {""name"": ""A/B Testing"", ""category"": ""Testing Method"", ""type"": ""method"", ""esco_uri"": ""esco:skill/ab-testing""}, {""name"": ""Visual Design"", ""category"": ""Design Skill"", ""type"": ""skill"", ""esco_uri"": ""esco:skill/visual-design""}, {""name"": ""Prototyping"", ""category"": ""Design Activity"", ""type"": ""skill"", ""esco_uri"": ""esco:skill/prototyping""}]";5713;770;0.85;hybrid;1.0
e7d2d75a1393;Internship as Mercedes-Benz UX-Designer starting March 2023.docx;local;;;;;Internship as Mercedes Benz UX Designer starting March 2023;Mercedes-Benz;IT & Software;Berlin;UX/UI Design;8;"[{""name"": ""Figma"", ""category"": ""UX Tools"", ""type"": ""tool"", ""esco_uri"": ""esco:skill/figma""}, {""name"": ""Sketch"", ""category"": ""UX Tools"", ""type"": ""tool"", ""esco_uri"": ""esco:skill/sketch""}, {""name"": ""Adobe XD"", ""category"": ""UX Tools"", ""type"": ""tool"", ""esco_uri"": ""esco:skill/adobe-xd""}, {""name"": ""Adobe XD"", ""category"": ""UX Tools"", ""type"": ""tool"", ""esco_uri"": ""esco:skill/adobe-xd""}, {""name"": ""Journey Mapping"", ""category"": ""Research Method"", ""type"": ""method"", ""esco_uri"": ""esco:skill/journey-mapping""}, {""name"": ""UI Design"", ""category"": ""Design Skill"", ""type"": ""skill"", ""esco_uri"": ""esco:skill/ui-design""}, {""name"": ""Interaction Design"", ""category"": ""Design Skill"", ""type"": ""skill"", ""esco_uri"": ""esco:skill/interaction-design""}, {""name"": ""Prototyping"", ""category"": ""Design Activity"", ""type"": ""skill"", ""esco_uri"": ""esco:skill/prototyping""}]";3161;443;0.85;;1.0
6f652e08de52;Werkstudent (m_w_d) im Bereich User Experience.docx;local;;;;;Werkstudent (m w d) im Bereich User Experience;Porsche AG;IT & Software;Nicht angegeben;UX/UI Design, UX Research;2;"[{""name"": ""Design Thinking"", ""category"": ""Design Method"", ""type"": ""method"", ""esco_uri"": ""esco:skill/design-thinking""}, {""name"": ""Prototyping"", ""category"": ""Design Activity"", ""type"": ""skill"", ""esco_uri"": ""esco:skill/prototyping""}]";2254;294;0.65;hybrid;1.0
6fabfa156c00;Associate UX Researcher - job post Humanity.docx;local;;;;;Associate UX Researcher   job post Humanity;Unbekannt;;Berlin (Remote möglich);UX/UI Design, UX Research;1;"[{""name"": ""User Interviews"", ""category"": ""Research Method"", ""type"": ""method"", ""esco_uri"": ""esco:skill/user-interviews""}]";5301;781;0.5;;1.0
5d5f36532fbd;Junior Product Designer UX_UI @ Accenture Song.docx;local;;;;;Junior Product Designer UX UI @ Accenture Song;Accenture;IT & Software;Hamburg;UX/UI Design;7;"[{""name"": ""Figma"", ""category"": ""UX Tools"", ""type"": ""tool"", ""esco_uri"": ""esco:skill/figma""}, {""name"": ""Sketch"", ""category"": ""UX Tools"", ""type"": ""tool"", ""esco_uri"": ""esco:skill/sketch""}, {""name"": ""InVision"", ""category"": ""UX Tools"", ""type"": ""tool"", ""esco_uri"": ""esco:skill/invision""}, {""name"": ""HTML5"", ""category"": ""Web Technology"", ""type"": ""technology"", ""esco_uri"": ""esco:skill/html5""}, {""name"": ""CSS3"", ""category"": ""Web Technology"", ""type"": ""technology"", ""esco_uri"": ""esco:skill/css3""}, {""name"": ""Design Systems"", ""category"": ""Design Skill"", ""type"": ""skill"", ""esco_uri"": ""esco:skill/design-systems""}, {""name"": ""Prototyping"", ""category"": ""Design Activity"", ""type"": ""skill"", ""esco_uri"": ""esco:skill/prototyping""}]";3108;413;0.8;hybrid;1.0
c72f88fb3629;UX-Design _ Konzept @ Accenture Song (all genders).docx;local;;;;;UX Design   Konzept @ Accenture Song (all genders);Accenture;IT & Software;Hamburg;UX/UI Design;4;"[{""name"": ""Figma"", ""category"": ""UX Tools"", ""type"": ""tool"", ""esco_uri"": ""esco:skill/figma""}, {""name"": ""Sketch"", ""category"": ""UX Tools"", ""type"": ""tool"", ""esco_uri"": ""esco:skill/sketch""}, {""name"": ""Axure"", ""category"": ""UX Tools"", ""type"": ""tool"", ""esco_uri"": ""esco:skill/axure""}, {""name"": ""Wireframing"", ""category"": ""Design Activity"", ""type"": ""skill"", ""esco_uri"": ""esco:skill/wireframing""}]";1671;208;0.7;;1.0
2a03812b104e;UX-Designer (m_w_d) - in Teilzeit.docx;local;;;;;UX Designer (m w d)   in Teilzeit;Unbekannt;;Hamburg;UX/UI Design;11;"[{""name"": ""Figma"", ""category"": ""UX Tools"", ""type"": ""tool"", ""esco_uri"": ""esco:skill/figma""}, {""name"": ""InVision"", ""category"": ""UX Tools"", ""type"": ""tool"", ""esco_uri"": ""esco:skill/invision""}, {""name"": ""Miro"", ""category"": ""Collaboration"", ""type"": ""tool"", ""esco_uri"": ""esco:skill/miro""}, {""name"": ""JavaScript"", ""category"": ""Programming Language"", ""type"": ""language"", ""esco_uri"": ""esco:skill/javascript""}, {""name"": ""HTML5"", ""category"": ""Web Technology"", ""type"": ""technology"", ""esco_uri"": ""esco:skill/html5""}, {""name"": ""CSS3"", ""category"": ""Web Technology"", ""type"": ""technology"", ""esco_uri"": ""esco:skill/css3""}, {""name"": ""Interaction Design"", ""category"": ""Design Skill"", ""type"": ""skill"", ""esco_uri"": ""esco:skill/interaction-design""}, {""name"": ""Wireframing"", ""category"": ""Design Activity"", ""type"": ""skill"", ""esco_uri"": ""esco:skill/wireframing""}, {""name"": ""Wireframing"", ""category"": ""Design Activity"", ""type"": ""skill"", ""esco_uri"": ""esco:skill/wireframing""}, {""name"": ""Prototyping"", ""category"": ""Design Activity"", ""type"": ""skill"", ""esco_uri"": ""esco:skill/prototyping""}, {""name"": ""Prototyping"", ""category"": ""Design Activity"", ""type"": ""skill"", ""esco_uri"": ""esco:skill/prototyping""}]";4907;624;0.65;;1.0
5edd995a8366;UX Researcher - Rekruter MAM Gruppe.docx;local;;;;;UX Researcher   Rekruter MAM Gruppe;Unbekannt;;Hamburg;UX/UI Design, UX Research;10;"[{""name"": ""Figma"", ""category"": ""UX Tools"", ""type"": ""tool"", ""esco_uri"": ""esco:skill/figma""}, {""name"": ""Axure"", ""category"": ""UX Tools"", ""type"": ""tool"", ""esco_uri"": ""esco:skill/axure""}, {""name"": ""Scrum"", ""category"": ""Agile Method"", ""type"": ""method"", ""esco_uri"": ""esco:skill/scrum""}, {""name"": ""User Research"", ""category"": ""Research Method"", ""type"": ""method"", ""esco_uri"": ""esco:skill/user-research""}, {""name"": ""Usability Testing"", ""category"": ""Research Method"", ""type"": ""method"", ""esco_uri"": ""esco:skill/usability-testing""}, {""name"": ""User Interviews"", ""category"": ""Research Method"", ""type"": ""method"", ""esco_uri"": ""esco:skill/user-interviews""}, {""name"": ""UI Design"", ""category"": ""Design Skill"", ""type"": ""skill"", ""esco_uri"": ""esco:skill/ui-design""}, {""name"": ""Interaction Design"", ""category"": ""Design Skill"", ""type"": ""skill"", ""esco_uri"": ""esco:skill/interaction-design""}, {""name"": ""Wireframing"", ""category"": ""Design Activity"", ""type"": ""skill"", ""esco_uri"": ""esco:skill/wireframing""}, {""name"": ""Prototyping"", ""category"": ""Design Activity"", ""type"": ""skill"", ""esco_uri"": ""esco:skill/prototyping""}]";3983;597;0.65;;1.0
ca55f73e4cbb;UX-Researcher (m_w_d) - job post top itservices AG.docx;local;;;;;UX Researcher (m w d)   job post top itservices AG;Unbekannt;;Hamburg (Remote möglich);UX/UI Design, UX Research;0;;2755;343;0.35;;1.0
3e8d7599b546;UX Researcher (m_w_d).docx;local;;;;;UX Researcher (m w d);Unbekannt;;Nicht angegeben;UX/UI Design, UX Research;3;"[{""name"": ""User Research"", ""category"": ""Research Method"", ""type"": ""method"", ""esco_uri"": ""esco:skill/user-research""}, {""name"": ""User Research"", ""category"": ""Research Method"", ""type"": ""method"", ""esco_uri"": ""esco:skill/user-research""}, {""name"": ""Usability Testing"", ""category"": ""Research Method"", ""type"": ""method"", ""esco_uri"": ""esco:skill/usability-testing""}]";4025;548;0.45;hybrid;1.0
4259e3b89fc5;Praktikum_Thesis UX Development (m_w_d) - job post Ergosign GmbH.docx;local;;;;;Praktikum Thesis UX Development (m w d)   job post Ergosign GmbH;Ergosign GmbH;IT & Software;Hamburg (Remote möglich);UX/UI Design;4;"[{""name"": ""JavaScript"", ""category"": ""Programming Language"", ""type"": ""language"", ""esco_uri"": ""esco:skill/javascript""}, {""name"": ""HTML5"", ""category"": ""Web Technology"", ""type"": ""technology"", ""esco_uri"": ""esco:skill/html5""}, {""name"": ""CSS3"", ""category"": ""Web Technology"", ""type"": ""technology"", ""esco_uri"": ""esco:skill/css3""}, {""name"": ""Prototyping"", ""category"": ""Design Activity"", ""type"": ""skill"", ""esco_uri"": ""esco:skill/prototyping""}]";2550;311;0.75;hybrid;1.0
78f57e7e9701;Trainee UX Design (all genders) Schwerpunkt TV - FFW.docx;local;;;;;Trainee UX Design (all genders) Schwerpunkt TV   FFW;Unbekannt;;Hamburg;UX/UI Design;4;"[{""name"": ""Figma"", ""category"": ""UX Tools"", ""type"": ""tool"", ""esco_uri"": ""esco:skill/figma""}, {""name"": ""Sketch"", ""category"": ""UX Tools"", ""type"": ""tool"", ""esco_uri"": ""esco:skill/sketch""}, {""name"": ""Framer"", ""category"": ""UX Tools"", ""type"": ""tool"", ""esco_uri"": ""esco:skill/framer""}, {""name"": ""Prototyping"", ""category"": ""Design Activity"", ""type"": ""skill"", ""esco_uri"": ""esco:skill/prototyping""}]";2968;382;0.55;hybrid;1.0
21a2567239d3;UI _ UX Designer LUY (m_w_d).docx;local;;;;;UI   UX Designer LUY (m w d);Unbekannt;;Hamburg (Remote möglich);UX/UI Design;6;"[{""name"": ""Figma"", ""category"": ""UX Tools"", ""type"": ""tool"", ""esco_uri"": ""esco:skill/figma""}, {""name"": ""Miro"", ""category"": ""Collaboration"", ""type"": ""tool"", ""esco_uri"": ""esco:skill/miro""}, {""name"": ""Design Systems"", ""category"": ""Design Skill"", ""type"": ""skill"", ""esco_uri"": ""esco:skill/design-systems""}, {""name"": ""Prototyping"", ""category"": ""Design Activity"", ""type"": ""skill"", ""esco_uri"": ""esco:skill/prototyping""}, {""name"": ""Jira"", ""category"": ""Project Management"", ""type"": ""tool"", ""esco_uri"": ""esco:skill/jira""}, {""name"": ""Confluence"", ""category"": ""Documentation"", ""type"": ""tool"", ""esco_uri"": ""esco:skill/confluence""}]";3472;426;0.65;hybrid;1.0
3cc79ff21d42;UX Researcher- airhelp.docx;local;;;;;UX Researcher  airhelp;Unbekannt;;Berlin;UX/UI Design, UX Research;5;"[{""name"": ""Figma"", ""category"": ""UX Tools"", ""type"": ""tool"", ""esco_uri"": ""esco:skill/figma""}, {""name"": ""Go"", ""category"": ""Programming Language"", ""type"": ""language"", ""esco_uri"": ""esco:skill/go""}, {""name"": ""Design Thinking"", ""category"": ""Design Method"", ""type"": ""method"", ""esco_uri"": ""esco:skill/design-thinking""}, {""name"": ""User Research"", ""category"": ""Research Method"", ""type"": ""method"", ""esco_uri"": ""esco:skill/user-research""}, {""name"": ""User Research"", ""category"": ""Research Method"", ""type"": ""method"", ""esco_uri"": ""esco:skill/user-research""}]";3676;562;0.6;hybrid;1.0
5c03d6eae3fa;UX Designer (m_w_d) - job post TCG-Vault.docx;local;;;;;UX Designer (m w d)   job post TCG Vault;Unbekannt;;Nicht angegeben;UX/UI Design;1;"[{""name"": ""Figma"", ""category"": ""UX Tools"", ""type"": ""tool"", ""esco_uri"": ""esco:skill/figma""}]";1812;230;0.4;onsite;1.0
9e0afe717600;UX Researcher_in.docx;local;;;;;UX Researcher in;Unbekannt;;Nicht angegeben;UX/UI Design, UX Research;0;;6015;708;0.25;;1.0
17859f0608ed;(Senior) UX Designer (w_m_x) Consumer, Products & Services – Start ab 1.docx;local;;;;;(Senior) UX Designer (w m x) Consumer, Products & Services – Start ab 1;Unbekannt;;Berlin;UX/UI Design;6;"[{""name"": ""Figma"", ""category"": ""UX Tools"", ""type"": ""tool"", ""esco_uri"": ""esco:skill/figma""}, {""name"": ""Design Thinking"", ""category"": ""Design Method"", ""type"": ""method"", ""esco_uri"": ""esco:skill/design-thinking""}, {""name"": ""User Research"", ""category"": ""Research Method"", ""type"": ""method"", ""esco_uri"": ""esco:skill/user-research""}, {""name"": ""Personas"", ""category"": ""Research Artifact"", ""type"": ""method"", ""esco_uri"": ""esco:skill/personas""}, {""name"": ""Wireframing"", ""category"": ""Design Activity"", ""type"": ""skill"", ""esco_uri"": ""esco:skill/wireframing""}, {""name"": ""Prototyping"", ""category"": ""Design Activity"", ""type"": ""skill"", ""esco_uri"": ""esco:skill/prototyping""}]";4967;662;0.6;hybrid;1.0
5c31280df79d;UX-Researcher (All genders) - job post PayFit.docx;local;;;;;UX Researcher (All genders)   job post PayFit;Unbekannt;;Berlin;UX/UI Design, UX Research;0;;3736;552;0.3;hybrid;1.0
308ac5af92b0;UX Researcher Digital Products - PwC.docx;local;;;;;UX Researcher Digital Products   PwC;PwC;IT & Software;Berlin;UX/UI Design, UX Research;5;"[{""name"": ""User Research"", ""category"": ""Research Method"", ""type"": ""method"", ""esco_uri"": ""esco:skill/user-research""}, {""name"": ""User Research"", ""category"": ""Research Method"", ""type"": ""method"", ""esco_uri"": ""esco:skill/user-research""}, {""name"": ""User Interviews"", ""category"": ""Research Method"", ""type"": ""method"", ""esco_uri"": ""esco:skill/user-interviews""}, {""name"": ""Personas"", ""category"": ""Research Artifact"", ""type"": ""method"", ""esco_uri"": ""esco:skill/personas""}, {""name"": ""Prototyping"", ""category"": ""Design Activity"", ""type"": ""skill"", ""esco_uri"": ""esco:skill/prototyping""}]";3701;489;0.9;onsite;1.0
931eb9de0b90;(Junior) UX Researcher @ Accenture Song.docx;local;;;;;(Junior) UX Researcher @ Accenture Song;Accenture;IT & Software;Hamburg;UX/UI Design, UX Research;2;"[{""name"": ""User Research"", ""category"": ""Research Method"", ""type"": ""method"", ""esco_uri"": ""esco:skill/user-research""}, {""name"": ""User Research"", ""category"": ""Research Method"", ""type"": ""method"", ""esco_uri"": ""esco:skill/user-research""}]";3134;437;0.7;;1.0
